osmid,y,x,street_count,highway,ref,railway,geometry,gtfs_stop_count,degree_centrality
258159235,5342994.774762952,690855.4689052115,3,,,,POINT (690855.4689052115 5342994.774762952),0,0.00021375133594584968
3175316799,5342996.558879749,690869.5534369333,3,,,,POINT (690869.5534369333 5342996.558879749),0,0.00021375133594584968
258159244,5343236.8894785,690619.4797492501,1,,,,POINT (690619.4797492501 5343236.8894785),0,7.125044531528322e-05
1437778530,5343008.4854169125,690663.2459354042,1,,,,POINT (690663.2459354042 5343008.4854169125),0,7.125044531528322e-05
258170326,5342192.601503654,691364.4826522926,1,turning_circle,,,POINT (691364.4826522926 5342192.601503654),0,7.125044531528322e-05
258170330,5342185.790876936,691267.8734121509,1,turning_circle,,,POINT (691267.8734121509 5342185.790876936),0,7.125044531528322e-05
258170332,5342054.579185524,691299.0698103523,1,turning_circle,,,POINT (691299.0698103523 5342054.579185524),0,7.125044531528322e-05
258170338,5341935.988981179,691307.4932179005,1,turning_circle,,,POINT (691307.4932179005 5341935.988981179),0,7.125044531528322e-05
258170340,5342055.555973535,691388.9226310829,1,turning_circle,,,POINT (691388.9226310829 5342055.555973535),0,7.125044531528322e-05
258170344,5341939.0934591405,691397.090601824,1,turning_circle,,,POINT (691397.090601824 5341939.0934591405),0,7.125044531528322e-05
259121070,5335601.83958749,691076.0417852264,3,,,,POINT (691076.0417852264 5335601.83958749),0,0.00021375133594584968
307678634,5335593.971567935,691053.6759093237,3,crossing,,,POINT (691053.6759093237 5335593.971567935),0,0.00021375133594584968
1242496746,5335576.368109707,691065.2694978325,3,,,,POINT (691065.2694978325 5335576.368109707),0,0.00021375133594584968
259130125,5338001.094897895,681138.7390011054,1,turning_circle,,,POINT (681138.7390011054 5338001.094897895),0,7.125044531528322e-05
259667718,5337800.754780887,691953.4273262284,1,turning_circle,,,POINT (691953.4273262284 5337800.754780887),0,7.125044531528322e-05
259828318,5334813.852100742,693713.6292899386,1,,,,POINT (693713.6292899386 5334813.852100742),0,7.125044531528322e-05
259828365,5334804.065554808,693820.8322106968,1,,,,POINT (693820.8322106968 5334804.065554808),0,7.125044531528322e-05
1078912409,5334663.503553202,693828.3064188971,4,,,,POINT (693828.3064188971 5334663.503553202),2,0.0002850017812611329
3217734297,5334399.519837352,699825.5759258413,3,,,,POINT (699825.5759258413 5334399.519837352),0,0.00021375133594584968
260042732,5334253.640873257,699910.5246974921,1,,,,POINT (699910.5246974921 5334253.640873257),0,7.125044531528322e-05
1590058823,5334251.49358539,699844.6092931293,3,,,,POINT (699844.6092931293 5334251.49358539),0,0.00021375133594584968
260042759,5334181.802599914,699926.7115980639,1,turning_circle,,,POINT (699926.7115980639 5334181.802599914),0,7.125044531528322e-05
1590058821,5334178.271243566,699848.2547902167,3,,,,POINT (699848.2547902167 5334178.271243566),0,0.00021375133594584968
11658473886,5329934.346566239,693896.5016283836,3,,,,POINT (693896.5016283836 5329934.346566239),0,0.00021375133594584968
260234916,5330906.630755308,692319.7894404705,3,,,,POINT (692319.7894404705 5330906.630755308),0,0.00021375133594584968
444572685,5331007.433299496,692273.4046965842,1,,,,POINT (692273.4046965842 5331007.433299496),0,7.125044531528322e-05
260235014,5330915.728896823,692340.2386951809,3,,,,POINT (692340.2386951809 5330915.728896823),0,0.00021375133594584968
260234917,5330792.4708815,692371.6175524269,3,,,,POINT (692371.6175524269 5330792.4708815),0,0.00021375133594584968
260235040,5330801.480978282,692390.7659344045,3,,,,POINT (692390.7659344045 5330801.480978282),0,0.00021375133594584968
260234918,5330662.701188173,692430.0608873288,3,,,,POINT (692430.0608873288 5330662.701188173),0,0.00021375133594584968
1359679220,5330700.309424459,692511.5589100356,1,,,,POINT (692511.5589100356 5330700.309424459),0,7.125044531528322e-05
260495269,5337958.733760735,682222.0221406509,1,,,,POINT (682222.0221406509 5337958.733760735),0,7.125044531528322e-05
